,Threshold,Sensitivity,OneMinusSpecificity,Precision,Recall,F1Score,diff
20,,0.0,0.0,,0.0,,0.0
19,0.7828,0.1,0.0,1.0,0.1,0.18181818181818182,0.1
18,0.7475,0.2,0.0,1.0,0.2,0.3333333333333333,0.2
17,0.6836,0.3,0.0,1.0,0.3,0.46153846153846145,0.3
16,0.6744,0.4,0.0,1.0,0.4,0.5714285714285714,0.4
15,0.6732,0.5,0.0,1.0,0.5,0.6666666666666666,0.5
14,0.6668,0.6,0.0,1.0,0.6,0.7499999999999999,0.6
13,0.6527,0.7,0.0,1.0,0.7,0.8235294117647058,0.7
12,0.6342,0.8,0.0,1.0,0.8,0.8888888888888888,0.8
11,0.6175,0.8,0.1,0.8888888888888888,0.8,0.8421052631578947,0.7000000000000001
10,0.5614,0.9,0.1,0.9,0.9,0.8999999999999999,0.8
9,0.5587,0.9,0.2,0.8181818181818182,0.9,0.8571428571428572,0.7
8,0.4974,1.0,0.2,0.8333333333333334,1.0,0.9090909090909091,0.8
7,0.4889,1.0,0.3,0.7692307692307693,1.0,0.8695652173913044,0.7
6,0.4828,1.0,0.4,0.7142857142857143,1.0,0.8333333333333334,0.6
5,0.394,1.0,0.5,0.6666666666666666,1.0,0.8,0.5
4,0.3878,1.0,0.6,0.625,1.0,0.7692307692307692,0.4
3,0.3505,1.0,0.7,0.5882352941176471,1.0,0.7407407407407407,0.30000000000000004
2,0.1969,1.0,0.8,0.5555555555555556,1.0,0.7142857142857143,0.19999999999999996
1,0.1197,1.0,0.9,0.5263157894736842,1.0,0.689655172413793,0.09999999999999998
0,0.0814,1.0,1.0,0.5,1.0,0.6666666666666666,0.0
21,,1.0,1.0,0.5,1.0,0.6666666666666666,0.0
